,image_path,perimetric_complexity,pixel_complexity
0,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_1.png,147.06196047873712,535.0
1,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_10.png,157.83195068164508,587.0
2,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_100.png,168.8277916237547,639.0
3,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_101.png,175.2059925384694,692.0
4,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_102.png,168.9293206705814,660.0
5,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_103.png,183.9418518215776,750.0
6,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_104.png,190.14392322955263,747.0
7,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_105.png,106.238542518801,358.0
8,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_106.png,203.1496526307724,732.0
9,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_107.png,132.72585637159006,506.0
10,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_108.png,102.06288547847215,396.0
11,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_109.png,193.28314123025396,725.0
12,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_11.png,135.36359858326767,507.0
13,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_110.png,95.39234510084202,329.0
14,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_111.png,119.3682122942691,441.0
15,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_112.png,210.3323491860928,849.0
16,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_113.png,132.14531490889968,477.0
17,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_114.png,101.09572582141642,353.0
18,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_115.png,92.71161733508468,309.0
19,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_116.png,174.96165264604772,643.0
20,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_117.png,150.553210555044,551.0
21,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_118.png,143.7330655574512,531.0
22,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_119.png,130.573819014429,490.0
23,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_12.png,138.80241863048718,528.0
24,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_120.png,173.292103546279,697.0
25,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_121.png,179.38479838045043,681.0
26,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_122.png,126.716545601944,517.0
27,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_123.png,129.13749306855868,470.0
28,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/casia_stretched_lee/!_Simplified_124.png,153.98210669510664,588.0
